wo_number,work_dept,work_code,est_hrs,actual_hrs,hrs_variance,est_cost,job_cost,cost_variance,description,source_tier,source_file
10014.1,0600,0625,4.0,0.0,-4.0,228.8,0.0,-228.8,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.1,0600,0630,5.0,5.0,253.83,253.83,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.1,0600,0640,2.5,0.0,-2.5,286.0,0.0,-286.0,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.2,0600,0625,1.0,1.0,61.49,61.49,,,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.2,0600,0630,1.5,1.5,91.18,91.18,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.2,5300,5310,2.0,0.0,-2.0,84.92,0.0,-84.92,STAFF TIME - PERMITTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0100,0110,0.5,0.0,-0.5,21.23,0.0,-21.23,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0500,0510,0.5,0.0,-0.5,21.23,0.0,-21.23,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0500,0520,0.25,0.25,9.65,9.65,,,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0500,0530,0.5,0.0,-0.5,21.23,0.0,-21.23,PRINTED GRAPHICS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0600,0610,0.5,0.5,26.46,26.46,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0600,0612,1.0,0.0,-1.0,61.49,0.0,-61.49,INSTALL - NO CRANE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0600,0620,0.75,0.75,38.86,38.86,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.1,0600,0630,2.0,2.0,105.82,105.82,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0200,0260,2.0,0.5,-1.5,84.92,14.96,-69.96,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0200,0270,0.25,0.25,9.65,9.65,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0500,0510,1.0,0.0,-1.0,42.46,0.0,-42.46,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0500,0520,1.0,0.5,-0.5,42.46,19.3,-23.16,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0500,0530,2.0,0.0,-2.0,84.92,0.0,-84.92,PRINTED GRAPHICS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0500,0550,3.0,1.25,-1.75,127.38,48.25,-79.13,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0600,0610,1.0,0.25,-0.75,57.2,13.24,-43.96,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0600,0620,4.0,0.5,-3.5,226.8,25.92,-200.88,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0600,0630,2.0,2.0,105.82,105.82,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0600,0640,1.5,0.0,-1.5,171.6,0.0,-171.6,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.2,0600,0825,0.5,0.0,-0.5,18.96,0.0,-18.96,SCRAP/JUNK,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0200,0200,0.75,0.75,21.71,21.71,,,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0200,0220,0.5,0.5,14.96,14.96,,,EXTRUSIONS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0200,0230,1.0,0.0,-1.0,42.46,0.0,-42.46,CHANNEL LETTERS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0200,0235,0.5,0.5,14.48,14.48,,,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0200,0260,1.0,0.75,-0.25,42.46,28.95,-13.51,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0200,9200,0.5,0.5,14.96,14.96,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0300,0310,1.0,0.0,-1.0,42.46,0.0,-42.46,BALLAST WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0500,0510,0.5,0.0,-0.5,21.23,0.0,-21.23,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0500,0520,0.5,0.25,-0.25,21.23,9.65,-11.58,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0500,0530,1.0,0.0,-1.0,42.46,0.0,-42.46,PRINTED GRAPHICS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0500,0550,0.5,0.0,-0.5,21.23,0.0,-21.23,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0600,0610,0.5,0.25,-0.25,28.6,13.24,-15.36,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0600,0620,0.75,0.75,38.86,38.86,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0600,0630,1.0,1.0,52.91,52.91,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.3,0600,0640,1.5,0.0,-1.5,171.6,0.0,-171.6,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.4,0100,0110,0.5,0.0,-0.5,21.23,0.0,-21.23,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.4,0500,0510,0.5,0.0,-0.5,21.23,0.0,-21.23,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.4,0500,0520,0.5,0.25,-0.25,21.23,9.9,-11.33,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.4,0500,0550,0.5,0.5,19.3,19.3,,,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.4,0600,0612,1.0,0.0,-1.0,61.49,0.0,-61.49,INSTALL - NO CRANE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.4,0600,0630,1.5,1.5,64.35,64.35,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.5,0100,0110,0.25,0.0,-0.25,10.62,0.0,-10.62,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.5,0200,0200,0.5,0.5,14.48,14.48,,,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.5,0500,0520,0.25,0.0,-0.25,10.62,0.0,-10.62,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.5,0600,0612,0.5,0.0,-0.5,30.75,0.0,-30.75,INSTALL - NO CRANE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.6,0100,0110,0.5,0.0,-0.5,21.23,0.0,-21.23,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.6,0500,0510,0.5,0.0,-0.5,21.23,0.0,-21.23,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.6,0500,0520,0.5,0.75,0.25,21.23,29.2,7.97,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.6,0600,0612,1.0,0.0,-1.0,61.49,0.0,-61.49,INSTALL - NO CRANE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.6,0600,0630,1.25,1.25,53.63,53.63,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10015.7,0099,0098,0.75,0.75,30.4,30.4,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10016.1,0200,0280,1.5,1.5,47.77,47.77,,,CRATING & SHIPPING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10018.1,0200,0282,1.0,0.0,-1.0,42.46,0.0,-42.46,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10018.1,0600,0610,0.5,0.0,-0.5,28.6,0.0,-28.6,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10018.1,0600,0620,0.75,0.0,-0.75,42.53,0.0,-42.53,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10018.1,0600,0630,3.0,2.0,-1.0,171.6,107.25,-64.35,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10018.1,5300,5320,0.5,0.0,-0.5,21.23,0.0,-21.23,ADMINSTRATIVE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10019.1,0200,0280,5.5,5.5,185.54,185.54,,,CRATING & SHIPPING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1002.1,0200,0260,3.0,3.0,125.46,125.46,,,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10020.1,0200,0282,0.5,0.0,-0.5,21.23,0.0,-21.23,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10020.1,0600,0610,0.5,0.0,-0.5,28.6,0.0,-28.6,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10020.1,0600,0620,0.5,1.0,0.5,28.35,52.5,24.15,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10020.1,0600,0630,3.0,1.0,-2.0,171.6,53.63,-117.97,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10020.1,5300,5320,0.5,0.0,-0.5,21.23,0.0,-21.23,ADMINSTRATIVE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.1,0600,0610,1.0,1.0,49.71,49.71,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.1,0600,0620,1.0,1.0,0.0,56.7,51.82,-4.88,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.1,0600,0625,2.0,0.0,-2.0,114.4,0.0,-114.4,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.1,0600,0630,0.25,0.25,12.16,12.16,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.1,0600,0825,0.25,0.0,-0.25,9.48,0.0,-9.48,SCRAP/JUNK,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.1,0600,9600,0.75,0.75,38.62,38.62,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0200,0200,1.0,0.0,-1.0,42.46,0.0,-42.46,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0200,0270,2.75,2.75,106.15,106.15,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0600,0610,0.5,1.5,1.0,28.6,72.93,44.33,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0600,0620,1.0,2.75,1.75,56.7,134.06,77.36,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0600,0625,1.5,0.0,-1.5,85.8,0.0,-85.8,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0600,0630,5.0,5.0,251.68,251.68,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.2,0600,0640,2.0,0.0,-2.0,228.8,0.0,-228.8,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0100,0110,0.5,0.0,-0.5,21.23,0.0,-21.23,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0200,0235,0.75,0.75,21.71,21.71,,,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0200,0270,0.25,0.0,-0.25,10.62,0.0,-10.62,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0500,0510,0.25,0.0,-0.25,10.62,0.0,-10.62,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0500,0520,0.5,0.75,0.25,21.23,29.2,7.97,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0500,0550,0.75,1.5,0.75,31.85,57.9,26.05,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0600,0610,0.25,0.0,-0.25,14.3,0.0,-14.3,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0600,0620,0.5,0.5,25.9,25.9,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0600,0625,0.25,2.75,2.5,14.3,145.52,131.22,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.3,0600,0630,0.75,3.25,2.5,42.9,164.46,121.56,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0200,0250,3.0,6.5,3.5,127.38,194.45,67.07,AWNINGS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0200,9200,0.5,0.5,14.96,14.96,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0500,0510,0.25,0.0,-0.25,10.62,0.0,-10.62,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0500,0520,0.5,0.5,0.0,21.23,19.55,-1.68,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0500,0550,1.0,1.25,0.25,42.46,48.25,5.79,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0500,9500,0.25,0.25,9.65,9.65,,,VINYL DEPT OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0600,0610,1.0,0.0,-1.0,57.2,0.0,-57.2,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0600,0620,2.0,0.0,-2.0,113.4,0.0,-113.4,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.4,0600,0640,2.5,0.0,-2.5,286.0,0.0,-286.0,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.5,0100,0110,0.5,0.0,-0.5,21.23,0.0,-21.23,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.5,0500,0520,0.25,0.0,-0.25,10.62,0.0,-10.62,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.5,0600,0612,0.5,0.0,-0.5,30.75,0.0,-30.75,INSTALL - NO CRANE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10021.6,0099,0098,0.5,0.5,20.27,20.27,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0200,0282,1.0,0.0,-1.0,42.46,0.0,-42.46,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0600,0610,0.5,0.0,-0.5,28.6,0.0,-28.6,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0600,0620,1.0,3.0,2.0,56.7,153.3,96.6,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0600,0625,1.0,0.0,-1.0,57.2,0.0,-57.2,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0600,0630,3.0,5.5,2.5,171.6,291.01,119.41,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.2,0600,9600,2.25,2.25,115.84,115.84,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0200,0210,2.0,2.5,0.5,84.92,92.88,7.96,SHEET METAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0200,0220,1.0,0.0,-1.0,42.46,0.0,-42.46,EXTRUSIONS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0200,0235,1.0,0.0,-1.0,42.46,0.0,-42.46,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0200,0270,0.25,0.25,9.65,9.65,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0200,9200,3.5,3.5,130.05,130.05,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0400,0410,2.0,0.0,-2.0,84.92,0.0,-84.92,CLEAN AND ETCH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0500,0520,1.0,1.5,0.5,42.46,58.38,15.92,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0500,0550,2.0,1.5,-0.5,84.92,57.9,-27.02,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0600,0610,1.0,1.0,0.0,57.2,50.77,-6.43,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0600,0620,0.75,0.75,35.7,35.7,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0600,0630,4.25,4.25,206.64,206.64,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0600,0640,3.0,0.0,-3.0,343.2,0.0,-343.2,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,0600,0815,1.0,0.0,-1.0,57.2,0.0,-57.2,SURVEY,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.3,5200,5200,0.75,0.75,27.87,27.87,,,CLEAN & MAINTAIN SHOP,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.4,0099,0098,0.5,0.5,20.27,20.27,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10022.4,0099,0099,1.0,1.0,40.53,40.53,,,PERMIT RECEIVED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.1,0099,0099,1.0,1.0,40.53,40.53,,,PERMIT RECEIVED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.1,0600,0610,0.75,0.75,36.47,36.47,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.1,0600,0620,1.0,1.0,47.6,47.6,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.1,0600,0815,2.75,4.5,1.75,157.3,229.52,72.22,SURVEY,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.2,0600,0620,1.5,0.0,-1.5,85.05,0.0,-85.05,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.2,0600,0625,4.0,2.75,-1.25,228.8,145.52,-83.28,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.2,0600,0630,4.0,4.0,211.64,211.64,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.2,0600,0825,1.5,0.0,-1.5,56.89,0.0,-56.89,SCRAP/JUNK,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.2,0600,9600,1.5,1.5,79.37,79.37,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,0200,0282,1.0,0.0,-1.0,42.46,0.0,-42.46,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,0600,0610,1.0,1.5,0.5,57.2,75.08,17.88,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,0600,0620,1.5,2.5,1.0,85.05,125.3,40.25,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,0600,0630,12.0,12.0,609.19,609.19,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,0600,0640,4.0,0.0,-4.0,457.6,0.0,-457.6,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,0600,9600,3.25,3.25,164.46,164.46,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.4,0099,0098,0.5,0.5,20.27,20.27,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.4,0600,0610,0.5,0.5,26.46,26.46,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.4,0600,9600,0.5,0.5,24.31,24.31,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.5,0600,0625,2.0,0.0,-2.0,114.4,0.0,-114.4,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.5,0600,0630,1.0,1.0,48.62,48.62,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.5,0600,0825,1.0,0.0,-1.0,37.92,0.0,-37.92,SCRAP/JUNK,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.5,0600,9600,1.0,1.0,48.62,48.62,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.6,0600,0610,0.75,0.75,36.47,36.47,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.6,0600,0620,1.5,0.5,-1.0,85.05,23.8,-61.25,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.6,0600,0625,4.0,0.0,-4.0,228.8,0.0,-228.8,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.6,0600,0630,3.0,3.0,145.86,145.86,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.6,0600,0640,2.5,0.0,-2.5,286.0,0.0,-286.0,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.2,0099,0098,1.25,1.25,50.67,50.67,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.2,0099,0099,1.0,1.0,42.94,42.94,,,PERMIT RECEIVED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,0099,0098,0.75,0.75,32.21,32.21,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,0100,0110,1.0,0.75,-0.25,42.46,31.85,-10.61,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
