linkToSalesperson_assoc_name,zip,phone,custNo,@ID,address,name,state,address_2,customer,linkToPymtTerms_assoc_desc,taxCode,contact,city,desc
,33172,(000) 000-0000,23500,23500,Dolphin Mall,CHARLEY'S GRILLED SUBS,FL,11401 NW 12th St,"CHARLEY'S GRILLED SUBS; Dolphin Mall; 11401 NW 12th St; Miami, FL 33172",NET 30 DAYS,,Taehoon Kim,Miami,
Brian Thompson,89436,775-626-6299,25350,25350,4899 Monte Rio Court,CHARLEY'S GRILLED SUBS,NV,,"CHARLEY'S GRILLED SUBS; 4899 Monte Rio Court; Sparks, NV 89436",NET 30 DAYS,,Taehoon Kim,Sparks,
Brian Thompson,33901,,21600,21600,Edison Mall,CHARLEY'S GRILLED SUBS,FL,4125 Cleveland Ave.,"CHARLEY'S GRILLED SUBS; Edison Mall; 4125 Cleveland Ave.; Fort Myers, FL 33901",NET 30 DAYS,,Taehoon Kim,Fort Myers,
,8840,(917) 952-5791,23450,23450,17 Beechwood Ave,CHARLEY'S GRILLED SUBS,NJ,,"CHARLEY'S GRILLED SUBS; 17 Beechwood Ave; Metuchen, NJ 8840",NET 30 DAYS,,Taehoon Kim,Metuchen,
Mike Ericson,20877,,2844,2844,LAKEFOREST MALL,CHARLEY'S GRILLED SUBS,MD,701 RUSSELL AVENUE; # FC-104,"CHARLEY'S GRILLED SUBS; LAKEFOREST MALL; 701 RUSSELL AVENUE; # FC-104; GAITHERSBURG, MD 20877",NET 30 DAYS,,,GAITHERSBURG,
Brian Thompson,46637,574-904-1143,25300,25300,Henry Kwok,CHARLEY'S GRILLED SUBS,IN,18273 Munich Ponds Dr.,"CHARLEY'S GRILLED SUBS; Henry Kwok; 18273 Munich Ponds Dr.; South Bend, IN 46637",NET 30 DAYS,,Taehoon Kim,South Bend,
Brian Thompson,44035,,21550,21550,Midway Mall,CHARLEY'S GRILLED SUBS,OH,3343 Midway Mall Space FC-4,"CHARLEY'S GRILLED SUBS; Midway Mall; 3343 Midway Mall Space FC-4; Elyria, OH 44035",NET 30 DAYS,,Taehoon Kim,Elyria,
Mike Ericson,68144,,2810,2810,OAKVIEW MALL,CHARLEY'S GRILLED SUBS,NE,"3001 S. 144TH ST., SPACE V08","CHARLEY'S GRILLED SUBS; OAKVIEW MALL; 3001 S. 144TH ST., SPACE V08; OMAHA, NE 68144",NET 30 DAYS,,,OMAHA,
Brian Thompson,13603,816-802-3243,22000,22000,Ft. Drum,CHARLEY'S GRILLED SUBS,NY,P2300 Nash Blvd.,"CHARLEY'S GRILLED SUBS; Ft. Drum; P2300 Nash Blvd.; Ft Drum, NY 13603",NET 30 DAYS,,Taehoon Kim,Ft Drum,
,29588,(000) 000-0000,23850,23850,6624 Heron Point,CHARLEY'S GRILLED SUBS,SC,,"CHARLEY'S GRILLED SUBS; 6624 Heron Point; Myrtle Beach, SC 29588",NET 30 DAYS,,Taehoon Kim,Myrtle Beach,
Brian Thompson,93555,,20100,20100,HOME DEPOT CENTER,CHARLEY'S GRILLED SUBS,CA,501 CHINA LAKE BLVD STE 101 C,"CHARLEY'S GRILLED SUBS; HOME DEPOT CENTER; 501 CHINA LAKE BLVD STE 101 C; RIDGECREST, CA 93555",NET 30 DAYS,,Taehoon Kim,RIDGECREST,
Mike Ericson,72903,,3238,3238,CENTRAL MALL,CHARLEY'S GRILLED SUBS,AR,"5111 ROGERS AVE., FC-5","CHARLEY'S GRILLED SUBS; CENTRAL MALL; 5111 ROGERS AVE., FC-5; FORT SMITH, AR 72903",NET 30 DAYS,,,FORT SMITH,
Mike Ericson,40219,,3235,3235,JEFFERSON MALL,CHARLEY'S GRILLED SUBS,KY,4801-302 OUTER LOOP; SPACE FC-4,"CHARLEY'S GRILLED SUBS; JEFFERSON MALL; 4801-302 OUTER LOOP; SPACE FC-4; LOUISVILLE, KY 40219",NET 30/FC 18% ANNUAL,,,LOUISVILLE,
,68446,(614) 875-8577,25700,25700,1445 Walnut St,CHARLEY'S GRILLED SUBS,NE,,"CHARLEY'S GRILLED SUBS; 1445 Walnut St; Syracuse, NE 68446",NET 30 DAYS,,Taehoon Kim,Syracuse,
Mike Ericson,33761,,3221,3221,COUNTRYSIDE MALL,CHARLEY'S GRILLED SUBS,FL,27001 US HIGHWAY 19 N; SPACE FC-6,"CHARLEY'S GRILLED SUBS; COUNTRYSIDE MALL; 27001 US HIGHWAY 19 N; SPACE FC-6; CLEARWATER, FL 33761",NET 30 DAYS,,,CLEARWATER,
Mike Ericson,75034,,21950,21950,STONEBRIAR CENTER,CHARLEY'S GRILLED SUBS,TX,2601 PRESTON RD,"CHARLEY'S GRILLED SUBS; STONEBRIAR CENTER; 2601 PRESTON RD; FRISCO, TX 75034",NET 30 DAYS,,Taehoon Kim,FRISCO,
Mike Ericson,23320,,3209,3209,GREENBRIER MALL,CHARLEY'S GRILLED SUBS,VA,1401 GREENBRIER PARKWAY SOUTH; SPACE 2024,"CHARLEY'S GRILLED SUBS; GREENBRIER MALL; 1401 GREENBRIER PARKWAY SOUTH; SPACE 2024; CHESAPEAKE, VA 23320",NET 30 DAYS,,,CHESAPEAKE,
Mike Ericson,33156,,3201,3201,7535 DADELAND MALL; SPACE 1370,CHARLEY'S GRILLED SUBS,FL,DADELAND MALL,"CHARLEY'S GRILLED SUBS; 7535 DADELAND MALL; SPACE 1370; DADELAND MALL; MIAMI, FL 33156",NET 30 DAYS,,,MIAMI,
Brian Thompson,46545,,23800,23800,University Park Mall,CHARLEY'S GRILLED SUBS,IN,6501 N. Grape Rd.; #578,"CHARLEY'S GRILLED SUBS; University Park Mall; 6501 N. Grape Rd.; #578; Mishawaka, IN 46545",NET 30 DAYS,,Taehoon Kim,Mishawaka,
Mike Ericson,94103,,3194,3194,SAN FRANCISCO CENTRE,CHARLEY'S GRILLED SUBS,CA,865 MARKET ST.; SPACE #FE8,"CHARLEY'S GRILLED SUBS; SAN FRANCISCO CENTRE; 865 MARKET ST.; SPACE #FE8; SAN FRANCISCO, CA 94103",NET 30 DAYS,,,SAN FRANCISCO,
,33323,,20050,20050,SAWGRASS MILLS MALL,CHARLEY'S GRILLED SUBS,FL,12801 W SUNRISE BLVD,"CHARLEY'S GRILLED SUBS; SAWGRASS MILLS MALL; 12801 W SUNRISE BLVD; SUNRISE, FL 33323",NET 30 DAYS,,Taehoon Kim,SUNRISE,
,68446,(614) 875-8577,25650,25650,1445 Walnut St,CHARLEY'S GRILLED SUBS,NE,,"CHARLEY'S GRILLED SUBS; 1445 Walnut St; Syracuse, NE 68446",NET 30 DAYS,,Taehoon Kim,Syracuse,
Brian Thompson,93720,559.256.1700,21900,21900,Shops at River Park,CHARLEY'S GRILLED SUBS,CA,7678 North Blackstone; Bldg #3,"CHARLEY'S GRILLED SUBS; Shops at River Park; 7678 North Blackstone; Bldg #3; Fresno, CA 93720",NET 30 DAYS,,Taehoon Kim,Fresno,
Mike Ericson,80124,,3156,3156,PARK MEADOWS MALL,CHARLEY'S GRILLED SUBS,CO,8401 PARK MEADOWS DR.; SPACE 2515,"CHARLEY'S GRILLED SUBS; PARK MEADOWS MALL; 8401 PARK MEADOWS DR.; SPACE 2515; LONE TREE, CO 80124",NET 30 DAYS,,,LONE TREE,
,55305,,23750,23750,Ridgedale Mall,CHARLEY'S GRILLED SUBS,MN,12401 Wayzata Blvd.,"CHARLEY'S GRILLED SUBS; Ridgedale Mall; 12401 Wayzata Blvd.; Minnetonka, MN 55305",NET 30 DAYS,,Taehoon Kim,Minnetonka,
Mike Ericson,77494,,3146,3146,KATY MILLS HALL,CHARLEY'S GRILLED SUBS,TX,5000 KATY MILLS CIRCLE; SUITE 901,"CHARLEY'S GRILLED SUBS; KATY MILLS HALL; 5000 KATY MILLS CIRCLE; SUITE 901; KATY, TX 77494",NET 30 DAYS,,,KATY,
,30024,,25600,25600,3630 Peachtree Pkway,CHARLEY'S GRILLED SUBS,GA,,"CHARLEY'S GRILLED SUBS; 3630 Peachtree Pkway; Suwanee, GA 30024",NET 30 DAYS,,Taehoon Kim,Suwanee,
Mike Ericson,55811,,3121,3121,MILLER HILL MALL,CHARLEY'S GRILLED SUBS,MN,"1600 MILLER TRUNK HWY, VC-07","CHARLEY'S GRILLED SUBS; MILLER HILL MALL; 1600 MILLER TRUNK HWY, VC-07; DULUTH, MN 55811",NET 30 DAYS,,,DULUTH,
Brian Thompson,93722,559-917-8888,21850,21850,6954 W. Oswego Ave.,CHARLEY'S GRILLED SUBS,CA,,"CHARLEY'S GRILLED SUBS; 6954 W. Oswego Ave.; Fresno, CA 93722",NET 30 DAYS,,Irma Ramirez,Fresno,
Brian Thompson,55305,,23700,23700,12401 Wayzata Blvd,CHARLEY'S GRILLED SUBS,MN,,"CHARLEY'S GRILLED SUBS; 12401 Wayzata Blvd; Minnetonka, MN 55305",NET 30 DAYS,,Taehoon Kim,Minnetonka,
Brian Thompson,85388,(623) 537-7757,25550,25550,178886 W. Evans,CHARLEY'S GRILLED SUBS,AZ,,"CHARLEY'S GRILLED SUBS; 178886 W. Evans; Surprise, AZ 85388",NET 30 DAYS,,Taehoon Kim,Surprise,
Mike Ericson,92821,,3073,3073,1065 BREA MALL,CHARLEY'S GRILLED SUBS,CA,SPACE 2164,"CHARLEY'S GRILLED SUBS; 1065 BREA MALL; SPACE 2164; BREA, CA 92821",NET 30 DAYS,,,BREA,
Mike Ericson,33012,,3072,3072,WESTLAND MALL,CHARLEY'S GRILLED SUBS,FL,1675 W 49TH ST.; FC-06,"CHARLEY'S GRILLED SUBS; WESTLAND MALL; 1675 W 49TH ST.; FC-06; HIALEAH, FL 33012",NET 30 DAYS,,,HIALEAH,
Brian Thompson,28805,,20350,20350,Asheville Mall,CHARLEY'S GRILLED SUBS,NC,3 S Tunnel RD,"CHARLEY'S GRILLED SUBS; Asheville Mall; 3 S Tunnel RD; Asheville, NC 28805",NET 30 DAYS,,Taehoon Kim,Asheville,
,14564,,25950,25950,672 Eastview Mall Drive,CHARLEY'S GRILLED SUBS,NY,,"CHARLEY'S GRILLED SUBS; 672 Eastview Mall Drive; Victor, NY 14564",NET 30 DAYS,,Taehoon Kim,Victor,
Brian Thompson,42223,,22200,22200,Campbell Main Store,CHARLEY'S GRILLED SUBS,KY,2840 Bastogne Ave,"CHARLEY'S GRILLED SUBS; Campbell Main Store; 2840 Bastogne Ave; Ft. Campbell, KY 42223",NET 30 DAYS,,Taehoon Kim,Ft. Campbell,
Mike Ericson,91423,,3470,3470,FASHION SQUARE MALL,CHARLEY'S GRILLED SUBS,CA,14006 RIVERSIDE DRIVE; FC8,"CHARLEY'S GRILLED SUBS; FASHION SQUARE MALL; 14006 RIVERSIDE DRIVE; FC8; SHERMAN OAKS, CA 91423",NET 30 DAYS,,,SHERMAN OAKS,
Mike Ericson,90640,,3469,3469,THE SHOPS AT MONTEBELLO,CHARLEY'S GRILLED SUBS,CA,2134 MONTEBELLO TOWN CENTER DR; FC-14,"CHARLEY'S GRILLED SUBS; THE SHOPS AT MONTEBELLO; 2134 MONTEBELLO TOWN CENTER DR; FC-14; MONTEBELLO, CA 90640",NET 30 DAYS,,,MONTEBELLO,
Mike Ericson,73118,405-615-7447,24050,24050,PENN SQUARE MALL,CHARLEY'S GRILLED SUBS,OK,1901 NW EXPRESSWAY,"CHARLEY'S GRILLED SUBS; PENN SQUARE MALL; 1901 NW EXPRESSWAY; OKLAHOMA CITY, OK 73118",NET 30 DAYS,,Taehoon Kim,OKLAHOMA CITY,
Brian Thompson,76015,,20300,20300,The Parks at Arlington,CHARLEY'S GRILLED SUBS,TX,3811 S. Cooper,"CHARLEY'S GRILLED SUBS; The Parks at Arlington; 3811 S. Cooper; Arlington, TX 76015",NET 30 DAYS,,Taehoon Kim,Arlington,
Brian Thompson,74133,,25900,25900,Woodland Hills Mall,CHARLEY'S GRILLED SUBS,OK,7021 S. Memorial Dr.,"CHARLEY'S GRILLED SUBS; Woodland Hills Mall; 7021 S. Memorial Dr.; Tulsa, OK 74133",NET 30 DAYS,,Taehoon Kim,Tulsa,
Brian Thompson,31905,,22150,22150,Bldg #103 Ingersoll St,CHARLEY'S GRILLED SUBS,GA,,"CHARLEY'S GRILLED SUBS; Bldg #103 Ingersoll St; Ft. Benning, GA 31905",NET 30 DAYS,,Taehoon Kim,Ft. Benning,
Mike Ericson,32301,,3403,3403,1500 APALACHEE PKWY; SPACE 1270,CHARLEY'S GRILLED SUBS,FL,,"CHARLEY'S GRILLED SUBS; 1500 APALACHEE PKWY; SPACE 1270; TALLAHASSEE, FL 32301",NET 30 DAYS,,,TALLAHASSEE,
Brian Thompson,44070,,24000,24000,Great Northern Mall,CHARLEY'S GRILLED SUBS,OH,4954 Great Northern Space 460,"CHARLEY'S GRILLED SUBS; Great Northern Mall; 4954 Great Northern Space 460; North Olmstead, OH 44070",NET 30 DAYS,,Taehoon Kim,North Olmstead,
Mike Ericson,27427,,3397,3397,FOUR SEASONS TOWN CENTRE,CHARLEY'S GRILLED SUBS,NC,410 FOUR SEASONS TOWN CENTRE; SPACE 350E,"CHARLEY'S GRILLED SUBS; FOUR SEASONS TOWN CENTRE; 410 FOUR SEASONS TOWN CENTRE; SPACE 350E; GREENSBORO, NC 27427",NET 30 DAYS,,,GREENSBORO,
Mike Ericson,98188,,25870,25870,SOUTHCENTER MALL,CHARLEY'S GRILLED SUBS,WA,2600 SOUTHCENTER MALL; FC 9,"CHARLEY'S GRILLED SUBS; SOUTHCENTER MALL; 2600 SOUTHCENTER MALL; FC 9; TUKWILA, WA 98188",NET 30 DAYS,,,TUKWILA,
Brian Thompson,94509,,20250,20250,Sommersville Townn Center,CHARLEY'S GRILLED SUBS,CA,2556 Sommersville Rd.,"CHARLEY'S GRILLED SUBS; Sommersville Townn Center; 2556 Sommersville Rd.; Antioch, CA 94509",NET 30 DAYS,,Taehoon Kim,Antioch,
Mike Ericson,27713,,3392,3392,6910 FAYETTEVILLE RD.,CHARLEY'S GRILLED SUBS,NC,SPACE #2285,"CHARLEY'S GRILLED SUBS; 6910 FAYETTEVILLE RD.; SPACE #2285; DURHAM, NC 27713",NET 30 DAYS,,,DURHAM,
Brian Thompson,77380,,25850,25850,The Woodlands Mall,CHARLEY'S GRILLED SUBS,TX,1201 Lake Woodlands Dr. Space,"CHARLEY'S GRILLED SUBS; The Woodlands Mall; 1201 Lake Woodlands Dr. Space; The woodlands, TX 77380",NET 30 DAYS,,Taehoon Kim,The woodlands,
Brian Thompson,65473,,22100,22100,LeonardW Main Store,CHARLEY'S GRILLED SUBS,MO,Bldg 487,"CHARLEY'S GRILLED SUBS; LeonardW Main Store; Bldg 487; Ft Leonard Wood, MO 65473",NET 30 DAYS,,Taehoon Kim,Ft Leonard Wood,
Mike Ericson,44070,440-777-4882,23950,23950,4954 GREAT NORTHERN MALL,CHARLEY'S GRILLED SUBS,OH,FC-#3,"CHARLEY'S GRILLED SUBS; 4954 GREAT NORTHERN MALL; FC-#3; NORTH OLMSTEAD, OH 44070",NET 30 DAYS,,Mike Allen,NORTH OLMSTEAD,
,14226,,20200,20200,Boulevard Mall,CHARLEY'S GRILLED SUBS,NY,,"CHARLEY'S GRILLED SUBS; Boulevard Mall; Amherst, NY 14226",NET 30 DAYS,,Taehoon Kim,Amherst,
Mike Ericson,21236,,3332,3332,WHITE MARSH MALL,CHARLEY'S GRILLED SUBS,MD,8200 PERRY HALL BLVD; SPACE #2395,"CHARLEY'S GRILLED SUBS; WHITE MARSH MALL; 8200 PERRY HALL BLVD; SPACE #2395; BALTIMORE, MD 21236",NET 30 DAYS,,,BALTIMORE,
Brian Thompson,15084,,25800,25800,Pittsburgh Mills Mall,CHARLEY'S GRILLED SUBS,PA,2012A Butler Logan Rd. Space #,"CHARLEY'S GRILLED SUBS; Pittsburgh Mills Mall; 2012A Butler Logan Rd. Space #; Tarentum, PA 15084",NET 30 DAYS,,Taehoon Kim,Tarentum,
Brian Thompson,76544,,22050,22050,Ft. Hood,CHARLEY'S GRILLED SUBS,TX,BLDG 50004 Clear Creek Rd,"CHARLEY'S GRILLED SUBS; Ft. Hood; BLDG 50004 Clear Creek Rd; Ft Hood, TX 76544",NET 30 DAYS,,Taehoon Kim,Ft Hood,
,29588,(000) 000-0000,23900,23900,6624 Heron Point,CHARLEY'S GRILLED SUBS,SC,,"CHARLEY'S GRILLED SUBS; 6624 Heron Point; Myrtle Beach, SC 29588",NET 30 DAYS,,Taehoon Kim,Myrtle Beach,
Brian Thompson,44333,,20150,20150,Summit Mall,CHARLEY'S GRILLED SUBS,OH,3265 W. Market St.; Space #180,"CHARLEY'S GRILLED SUBS; Summit Mall; 3265 W. Market St.; Space #180; Akron, OH 44333",NET 30 DAYS,,Taehoon Kim,Akron,
Brian Thompson,33607,(614) 923-4737,25750,25750,International Plaza,CHARLEY'S GRILLED SUBS,FL,2223 N. Westshore Blvd,"CHARLEY'S GRILLED SUBS; International Plaza; 2223 N. Westshore Blvd; Tampa, FL 33607",NET 30 DAYS,,Taehoon Kim,Tampa,
Mike Ericson,56001,,3574,3574,RIVER HILL MALL,CHARLEY'S PHILLY STEAKS,MN,1850 ADAMS TR; SUITE 608,"CHARLEY'S PHILLY STEAKS; RIVER HILL MALL; 1850 ADAMS TR; SUITE 608; MANKATO, MN 56001",NET 30 DAYS,,,MANKATO,
Mike Ericson,67207,,3562,3562,TOWN EAST MALL,CHARLEY'S PHILLY STEAKS,KS,"7700 EAST KELLOGG DR, VC06","CHARLEY'S PHILLY STEAKS; TOWN EAST MALL; 7700 EAST KELLOGG DR, VC06; WICHITA, KS 67207",NET 30 DAYS,,,WICHITA,
Mike Ericson,28134,,3759,3759,CAROLINA PLACE,CHARLEY'S PHILLY STEAKS,NC,"11025 CAROLINA PLACE PKY., FC-08","CHARLEY'S PHILLY STEAKS; CAROLINA PLACE; 11025 CAROLINA PLACE PKY., FC-08; PINEVILLE, NC 28134",NET 30 DAYS,,,PINEVILLE,
Mike Ericson,30909,,3761,3761,AUGUSTA MALL,CHARLEY'S PHILLY STEAK,GA,3450 WRIGHTSBORO RD; SPACE #2390,"CHARLEY'S PHILLY STEAK; AUGUSTA MALL; 3450 WRIGHTSBORO RD; SPACE #2390; AUGUSTA, GA 30909",NET 30 DAYS,,,AUGUSTA,
,96861,(808) 477-2361,20600,20600,Box 63073 Marine Corps Base,CHARLEY'S GRILLED SUBS,HI,,"CHARLEY'S GRILLED SUBS; Box 63073 Marine Corps Base; Camp HM, HI 96861",NET 30 DAYS,,Taehoon Kim,Camp HM,
Brian Thompson,50265,,26200,26200,Jordan Creek Town Centre,CHARLEY'S GRILLED SUBS,IA,,"CHARLEY'S GRILLED SUBS; Jordan Creek Town Centre; West Des Moines, IA 50265",NET 30 DAYS,,Taehoon Kim,West Des Moines,
Brian Thompson,93230,,22450,22450,Noe Baza,CHARLEY'S GRILLED SUBS,CA,1675 W. Lacey Blvd; Space V01,"CHARLEY'S GRILLED SUBS; Noe Baza; 1675 W. Lacey Blvd; Space V01; Hanford, CA 93230",NET 30 DAYS,,Taehoon Kim,Hanford,
Brian Thompson,44129,,24300,24300,Parmatown Mall,CHARLEY'S GRILLED SUBS,OH,7899 W Ridgewood Dr Space #111,"CHARLEY'S GRILLED SUBS; Parmatown Mall; 7899 W Ridgewood Dr Space #111; Parma, OH 44129",NET 30 DAYS,,Taehoon Kim,Parma,
Brian Thompson,24202,,20550,20550,3101 Lee Hwy,CHARLEY'S GRILLED SUBS,VA,,"CHARLEY'S GRILLED SUBS; 3101 Lee Hwy; Bristol, VA 24202",NET 30 DAYS,,Taehoon Kim,Bristol,
,50265,(000) 000-0000,26150,26150,Jordan Creek Mall,CHARLEY'S GRILLED SUBS,IA,,"CHARLEY'S GRILLED SUBS; Jordan Creek Mall; West Des Moines, IA 50265",NET 30 DAYS,,Taehoon Kim,West Des Moines,
Brian Thompson,93230,559-381-3413,22400,22400,1675 W. Lacey Blvd.,CHARLEY'S GRILLED SUBS,CA,Space VC1,"CHARLEY'S GRILLED SUBS; 1675 W. Lacey Blvd.; Space VC1; Hanford, CA 93230",NET 30 DAYS,,Taehoon Kim,Hanford,
Brian Thompson,32809,(614) 923-4737,24250,24250,Florida Mall,CHARLEY'S GRILLED SUBS,FL,8001 S. Orange Blossom Tr.; Sp,"CHARLEY'S GRILLED SUBS; Florida Mall; 8001 S. Orange Blossom Tr.; Sp; Orlando, FL 32809",NET 30 DAYS,,Taehoon Kim,Orlando,
Brian Thompson,65616,,20500,20500,Branson Landing,CHARLEY'S GRILLED SUBS,MO,331 Branson Landing,"CHARLEY'S GRILLED SUBS; Branson Landing; 331 Branson Landing; Branson, MO 65616",NET 30 DAYS,,Taehoon Kim,Branson,
,77058,,26100,26100,17321 El Camino Real,CHARLEY'S GRILLED SUBS,TX,,"CHARLEY'S GRILLED SUBS; 17321 El Camino Real; Webster, TX 77058",NET 30 DAYS,,Taehoon Kim,Webster,
Brian Thompson,95670,,22350,22350,Marcellus Bass,CHARLEY'S GRILLED SUBS,CA,2338 Cabo Way,"CHARLEY'S GRILLED SUBS; Marcellus Bass; 2338 Cabo Way; Gold river, CA 95670",NET 30 DAYS,,Taehoon Kim,Gold river,
Brian Thompson,32803,,24200,24200,Orlando Fashion Square Mall; S,CHARLEY'S GRILLED SUBS,FL,3201 E. Colonial Drive,"CHARLEY'S GRILLED SUBS; Orlando Fashion Square Mall; S; 3201 E. Colonial Drive; Orlando, FL 32803",NET 30 DAYS,,Taehoon Kim,Orlando,
Brian Thompson,33180,,20450,20450,Aventura Mall,CHARLEY'S GRILLED SUBS,FL,19501 Biscayne Blvd.; Space #1,"CHARLEY'S GRILLED SUBS; Aventura Mall; 19501 Biscayne Blvd.; Space #1; Aventura, FL 33180",NET 30 DAYS,,Taehoon Kim,Aventura,
Brian Thompson,39576,,26050,26050,315 Highway 90,CHARLEY'S GRILLED SUBS,MS,,"CHARLEY'S GRILLED SUBS; 315 Highway 90; Waveland, MS 39576",NET 30 DAYS,,Taehoon Kim,Waveland,
Brian Thompson,60139,,22300,22300,1215 Bloomingdale Rd,CHARLEY'S GRILLED SUBS,IL,,"CHARLEY'S GRILLED SUBS; 1215 Bloomingdale Rd; Glendale Heights, IL 60139",NET 30 DAYS,,Taehoon Kim,Glendale Heights,
,92865,,24150,24150,Village at Orange,CHARLEY'S GRILLED SUBS,CA,2298 North Orange Mall,"CHARLEY'S GRILLED SUBS; Village at Orange; 2298 North Orange Mall; Orange, CA 92865",NET 30 DAYS,,Taehoon Kim,Orange,
Brian Thompson,80012,,20400,20400,Aurora Mall,CHARLEY'S GRILLED SUBS,CO,14200 East Alamedia Ave Space,"CHARLEY'S GRILLED SUBS; Aurora Mall; 14200 East Alamedia Ave Space; Aurora, CO 80012",NET 30 DAYS,,Taehoon Kim,Aurora,
Brian Thompson,53186,,26000,26000,21461 E Moreland Blvd,CHARLEY'S GRILLED SUBS,WI,,"CHARLEY'S GRILLED SUBS; 21461 E Moreland Blvd; Waukesha, WI 53186",NET 30 DAYS,,Taehoon Kim,Waukesha,
Brian Thompson,75040,,22250,22250,635 Town Square Blvd.,CHARLEY'S GRILLED SUBS,TX,Space #F-07,"CHARLEY'S GRILLED SUBS; 635 Town Square Blvd.; Space #F-07; Garland, TX 75040",NET 30 DAYS,,Taehoon Kim,Garland,
Mike Ericson,68114,,24110,24110,10000 CALIFORNIA ST.,CHARLEY'S GRILLED SUBS,NE,,"CHARLEY'S GRILLED SUBS; 10000 CALIFORNIA ST.; OMAHA, NE 68114",NET 30 DAYS,,,OMAHA,
,98502,,24100,24100,Capital Mall,CHARLEY'S GRILLED SUBS,WA,625 Black Lake Rd,"CHARLEY'S GRILLED SUBS; Capital Mall; 625 Black Lake Rd; Olympia, WA 98502",NET 30 DAYS,,Taehoon Kim,Olympia,
Kent Reed,78628,(512) 864-2591,4042,4042,SUITE 260,CHERRYBERRY,TX,1103 RIVERY BOULEVARD,"CHERRYBERRY; SUITE 260; 1103 RIVERY BOULEVARD; GEORGETOWN, TX 78628",NET 30 DAYS,,Terri Cowdrey,GEORGETOWN,
Kent Reed,50211,(515) 981-0453,3941,3941,1611 SUNSET DRIVE,CHERRYBERRY,IA,,"CHERRYBERRY; 1611 SUNSET DRIVE; NORWALK, IA 50211",NET 30 DAYS,,CARRIE STYLES,NORWALK,
,45202,513-762-6900,26550,26550,2600 Chemed Center,CHEMED CORPORATION,OH,255 E. 5th St.,"CHEMED CORPORATION; 2600 Chemed Center; 255 E. 5th St.; Cincinnati, OH 45202",NET 30 DAYS,,,Cincinnati,
,84321,(435) 755-0099,26500,26500,1530 N. 1000 West,CHEM-DRY,UT,,"CHEM-DRY; 1530 N. 1000 West; Logan, UT 84321",NET 30 DAYS,,,Logan,
,68504,402 477 6745,4527,4527,3425 N. 44TH ST.,CHEEVER CONSTRUCTION,NE,,"CHEEVER CONSTRUCTION; 3425 N. 44TH ST.; LINCOLN, NE 68504",NET 30 DAYS,,,LINCOLN,
,92614,(949) 261-2602 x101,26450,26450,2719 White Rd.,"CHEESECAKE FACTORY, INC.,",CA,,"CHEESECAKE FACTORY, INC.,; 2719 White Rd.; Irvine, CA 92614",NET 30 DAYS,,,Irvine,
,33607,(813) 283-7000,26400,26400,"4300 W. Cypress St., Ste. 60",CHECKERS / RALLY'S DRIVE IN RE,FL,,"CHECKERS / RALLY'S DRIVE IN RE; 4300 W. Cypress St., Ste. 60; Tampa, FL 33607",NET 30 DAYS,,,Tampa,
,50310,,4686,4686,4225 LINCOLN AVE.,CHEAP SEATS SPORTS BAR,IA,,"CHEAP SEATS SPORTS BAR; 4225 LINCOLN AVE.; DES MOINES,, IA 50310",NET 30 DAYS,,,"DES MOINES,",
,,515-971-6161,2153,2153,2200 EASTON BLVD.,CHEAP CHARLEY'S AUTO SALES,IA,,"CHEAP CHARLEY'S AUTO SALES; 2200 EASTON BLVD.; DES MOINES, IA null",1% 10 DAYS - NET 30,,Kelly Trogdon,DES MOINES,
,80111,(303) 741-3707 x3308,26350,26350,6160 S. Syracuse Way,"CHATEAU COMMUNITIES, INC.",CO,,"CHATEAU COMMUNITIES, INC.; 6160 S. Syracuse Way; Greenwood Village, CO 80111",NET 30 DAYS,,,Greenwood Village,
Joe Phillips,50266,,5216,5216,5550 WILD ROSE LANE,CHARTERPOINT WEALTH STRATEGIES,IA,SUITE 100,"CHARTERPOINT WEALTH STRATEGIES; 5550 WILD ROSE LANE; SUITE 100; WEST DES MOINES, IA 50266",NET 30 DAYS,,Abigail Jefferson,WEST DES MOINES,
Ryan Wolff,50263,(515) 987-1000,3715,3715,455 6TH ST,CHARTER BANK,IA,,"CHARTER BANK; 455 6TH ST; WAUKEE, IA 50263",NET 30 DAYS,,Greg Grote,WAUKEE,
Joe Phillips,50111,,4998,4998,150 SE GATEWAY DR,CHARTER BANK,IA,,"CHARTER BANK; 150 SE GATEWAY DR; GRIMES, IA 50111",NET 30 DAYS,,,GRIMES,
Joe Phillips,50023,,4914,4914,2905 ORALABOR ROAD,CHARTER BANK,IA,,"CHARTER BANK; 2905 ORALABOR ROAD; ANKENY, IA 50023",NET 30 DAYS,,,ANKENY,
Joe Phillips,50131,,4909,4909,5526 NW 86TH STREET,CHARTER BANK,IA,,"CHARTER BANK; 5526 NW 86TH STREET; JOHNSTON, IA 50131",NET 30 DAYS,,,JOHNSTON,
,50235,515-223-0632,2219,2219,650 SOUTH PRAIRIE VIEW DRIVE,CHARLIE'S CHILDREN'S SHOP,IA,,"CHARLIE'S CHILDREN'S SHOP; 650 SOUTH PRAIRIE VIEW DRIVE; WEST DES MOINES, IA 50235",NET 30 DAYS,,Beth Umphress,WEST DES MOINES,
